Fecha de entrada,Fecha de salida,Nº noches,Gasto total (€),Nº personas,Reserva anticipada,Área de actucaravana
2025-07-28,2025-07-30,2,160,2,True,Bermeo
2025-12-27,2025-12-29,2,164,4,True,La Seu d'Urgell
2025-05-03,2025-05-10,7,343,6,False,Frías
2025-07-25,2025-07-29,4,432,5,True,Frías
2025-08-10,2025-08-16,6,456,1,True,Lorca
2025-08-13,2025-08-14,1,54,1,False,Lorca
2025-01-04,2025-01-09,5,595,6,False,Balmaseda
2025-09-14,2025-09-18,4,168,3,True,Pobladura del Valle
2025-02-09,2025-02-15,6,594,5,False,Morella
2025-09-04,2025-09-05,1,101,5,False,Pobladura del Valle
2025-11-07,2025-11-08,1,88,6,False,Morella
2025-12-30,2026-01-06,7,301,2,True,Onda
2025-06-19,2025-06-21,2,90,5,True,Gautegiz Arteaga
2025-06-10,2025-06-14,4,388,6,False,Culla
2025-08-15,2025-08-22,7,301,3,True,Baena
2025-12-03,2025-12-08,5,485,4,False,Balmaseda
2025-09-09,2025-09-15,6,264,6,True,La Seu d'Urgell
2025-04-12,2025-04-18,6,396,1,False,Sopuerta
2025-12-20,2025-12-25,5,540,2,False,Lorca
2025-04-08,2025-04-12,4,252,5,False,Bermeo
2025-01-17,2025-01-22,5,235,4,False,Puebla de Sanabria
2025-10-29,2025-11-04,6,348,3,False,Balmaseda
2025-06-21,2025-06-26,5,305,5,True,Pobladura del Valle
2025-11-28,2025-11-29,1,52,3,True,Bermeo
2025-06-02,2025-06-04,2,122,5,False,La Seu d'Urgell
2025-03-18,2025-03-22,4,208,4,True,Culla
2025-08-19,2025-08-25,6,708,6,True,Culla
2025-10-21,2025-10-22,1,79,3,False,Bermeo
2025-07-06,2025-07-13,7,280,5,True,Baena
2025-10-26,2025-10-28,2,186,6,False,Gautegiz Arteaga
2025-10-18,2025-10-19,1,55,3,False,Baena
2025-01-01,2025-01-08,7,322,6,False,Sopuerta
2025-12-23,2025-12-29,6,432,4,True,Morella
2025-01-25,2025-01-29,4,472,3,True,Morella
2025-02-05,2025-02-10,5,230,5,True,Onda
2025-07-11,2025-07-15,4,328,2,False,Balmaseda
2025-09-15,2025-09-22,7,413,6,True,Morella
2025-05-20,2025-05-27,7,399,4,True,La Seu d'Urgell
2025-02-23,2025-03-01,6,570,4,False,Baena
2025-09-20,2025-09-26,6,594,5,True,Culla
2025-11-14,2025-11-19,5,310,4,False,La Seu d'Urgell
2025-12-15,2025-12-16,1,113,1,False,Lorca
2025-01-29,2025-02-03,5,395,4,True,La Seu d'Urgell
2025-05-19,2025-05-20,1,91,3,False,Gautegiz Arteaga
2025-08-26,2025-09-02,7,595,3,False,Puebla de Sanabria
2025-10-20,2025-10-24,4,380,5,True,Bermeo
2025-09-12,2025-09-16,4,252,6,False,Pobladura del Valle
2025-11-23,2025-11-25,2,204,4,True,Frías
2025-12-13,2025-12-17,4,176,3,False,Bermeo
2025-05-28,2025-06-01,4,480,4,False,Balmaseda
2025-02-14,2025-02-15,1,67,6,False,Culla
2025-03-10,2025-03-14,4,300,6,False,La Seu d'Urgell
2025-11-02,2025-11-08,6,390,1,False,Balmaseda
2025-02-18,2025-02-21,3,198,1,False,Culla
2025-02-11,2025-02-14,3,204,5,False,La Seu d'Urgell
2025-05-07,2025-05-11,4,308,1,True,Sopuerta
2025-09-09,2025-09-13,4,224,2,True,Baena
2025-04-13,2025-04-15,2,218,6,False,Pobladura del Valle
2025-07-18,2025-07-24,6,438,1,False,La Seu d'Urgell
2025-03-30,2025-04-05,6,588,6,True,Lorca
2025-10-28,2025-11-04,7,665,1,True,Balmaseda
2025-07-17,2025-07-19,2,140,5,False,Puebla de Sanabria
2025-09-05,2025-09-07,2,208,2,False,Sopuerta
