Área de actucaravana,Agua,Luz,Barrera de seguridad,Cámara de seguridad,Supermercado cercano,Restaurantes cercanos,WiFi,Piscina
La Seu d'Urgell,True,False,True,False,True,False,True,True
Lorca,True,True,False,True,True,True,False,True
Puebla de Sanabria,True,True,False,True,False,True,True,True
Onda,False,False,False,False,True,False,True,False
Pobladura del Valle,False,False,True,False,False,True,True,True
Frías,False,True,False,False,True,False,False,False
Bermeo,True,True,True,False,True,True,True,False
Gautegiz Arteaga,False,True,False,True,True,True,True,False
Sopuerta,False,False,False,False,True,True,False,False
Balmaseda,False,True,True,True,False,True,False,True
Culla,True,False,False,False,True,False,True,False
Baena,True,False,False,True,True,False,False,False
Morella,True,True,True,False,True,False,False,True
